activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2023,7H6GLXDRUGQFU57RNE97,14500,CO,08013,08013060900,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,2,1,1,1,2,2,2,5000.0,NA,3.0,NA,2,8475.34,NA,6736.24,6736.24,6440.0,180,NA,NA,2,2,2,2,765000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,5441,24.79,144100,90.75,1480,1669,30
2023,7H6GLXDRUGQFU57RNE97,24540,CO,08123,08123001905,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,1,1,2,2,2,315000.0,NA,5.625,NA,2,10380.19,NA,8544.24,7154.24,3000.0,360,NA,NA,2,2,2,2,325000,1,1,3,5,1,NA,62,NA,9,9,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,3,5,2,4,<25,9999,No,NA,3,3,6,,,,,10,,,,4712,63.6,109300,74.38,1135,1531,32
2023,7H6GLXDRUGQFU57RNE97,17820,CO,08041,08041003306,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,6,3,2,1,1,1,2,2,2,165000.0,NA,6.125,NA,2,2525.95,NA,1240.0,,,360,NA,NA,2,2,2,2,515000,1,1,3,5,1,NA,66,NA,9,9,3,,,,,5,,,,,2,4,6,,,,,8,,,,,2,4,1,5,2,4,35-44,9999,No,NA,3,3,6,,,,,10,,,,3248,24.88,105000,153.2,983,1226,27
2023,7H6GLXDRUGQFU57RNE97,22660,CO,08069,08069001106,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,3,2,1,1,1,2,2,2,495000.0,NA,6.125,NA,2,10735.95,NA,9450.0,8060.0,,360,NA,NA,2,2,2,2,625000,1,1,3,5,1,NA,196,NA,9,9,3,,,,,3,,,,,2,2,6,,,,,6,,,,,2,2,3,3,2,2,35-44,45-54,No,No,3,3,6,,,,,10,,,,5312,21.69,118700,67.28,1033,1512,41
2023,7H6GLXDRUGQFU57RNE97,24540,CO,08123,08123002008,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,6,0,2,1,31,1,2,2,2,5000.0,NA,3.25,NA,2,2632.67,NA,1390.0,,,180,NA,NA,2,2,2,2,435000,1,1,3,5,1,NA,NA,NA,9,9,4,,,,,4,,,,,3,3,7,,,,,7,,,,,3,3,4,4,3,3,8888,8888,NA,NA,3,3,6,,,,,10,,,,6148,21.01,109300,163.09,1504,1493,14
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08005,08005007111,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,6,3,2,1,1,1,2,2,2,485000.0,NA,5.875,NA,2,6214.21,NA,4103.66,16087.35,,360,NA,NA,2,2,2,2,505000,1,1,3,5,1,NA,110,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,25-34,9999,No,NA,3,3,6,,,,,10,,,,1790,73.91,125500,52.58,202,415,29
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08035,08035014407,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,6,3,2,1,1,1,2,2,2,455000.0,NA,5.375,NA,2,7234.74,NA,5013.04,30762.14,,360,NA,NA,2,2,2,2,575000,1,1,3,5,1,NA,102,NA,9,9,2,,,,,5,,,,,2,4,5,,,,,8,,,,,2,4,2,5,2,4,35-44,9999,No,NA,3,3,6,,,,,10,,,,3595,21.17,125500,108.22,868,1001,19
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08014,08014031403,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Male,6,1,2,1,1,1,2,2,2,515000.0,NA,5.75,NA,2,12602.45,NA,10350.75,24586.99,,360,NA,NA,2,2,2,2,645000,1,1,3,5,1,NA,156,NA,9,9,3,,,,,2,,,,,2,2,6,,,,,5,,,,,2,2,1,3,2,2,35-44,35-44,No,No,3,3,6,,,,,10,,,,4617,26.58,125500,182.18,1046,1168,8
2023,7H6GLXDRUGQFU57RNE97,19740,CO,08001,08001008354,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,American Indian or Alaska Native,Female,6,1,2,1,1,1,2,2,2,315000.0,NA,5.375,NA,2,3476.7,NA,1250.0,18421.74,,360,NA,NA,2,2,2,2,475000,1,1,3,5,1,NA,86,NA,9,9,2,,,,,5,,,,,2,4,1,5,,,,8,,,,,2,4,2,5,2,4,55-64,9999,No,NA,3,3,6,,,,,10,,,,4022,73.84,125500,95.47,1134,893,14
2023,7H6GLXDRUGQFU57RNE97,14500,CO,08013,08013060801,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,6,5,2,1,1,1,2,2,2,835000.0,NA,5.75,NA,2,7445.78,NA,7445.78,7070.78,,360,NA,NA,2,2,2,2,1045000,1,1,3,5,1,NA,270,NA,9,9,2,,,,,2,,,,,2,2,5,,,,,5,,,,,2,2,1,2,2,2,55-64,55-64,No,No,3,3,6,,,,,10,,,,3905,40.15,144100,81.95,567,815,8
